Table generated on 12/10/2017,,,,,,,,,,,,
,,,,,,,,,,,,
Name,Year,Average debt of graduates,Percent of graduates with debt,Average debt of graduates in federal loans,Percent of graduates borrowing federal loans,Doctoral and first-professional degree recipients,Master's degree recipients,Graduate certificate recipients,Bachelor's degree recipients (Peterson's),Bachelor's degree recipients (IPEDS),Associate's degree recipients,Undergraduate certificate recipients
Washington - Total,2010-11,22220,0.56,20113,0.59,2405,9830,883,N/A,31294,27045,29322
West Virginia - Total,2015-16,27708,0.77,21058,0.74,1160,6244,424,N/A,16519,6498,5148
West Virginia - Total,2014-15,27713,0.68,26527,0.67,1055,6524,399,N/A,15997,6497,4273
West Virginia - Total,2013-14,26854,0.69,23102,0.62,1009,6806,330,N/A,15525,5914,3799
West Virginia - Total,2012-13,27320,0.7,23668,0.63,1032,6409,334,N/A,14357,5413,3502
West Virginia - Total,2011-12,26227,0.54,22587,0.54,986,6247,282,N/A,14056,5189,3258
West Virginia - Total,2010-11,26258,0.64,21862,0.63,1007,5884,146,N/A,13001,4688,3430
Wisconsin - Total,2015-16,30059,0.67,25344,0.65,2686,9298,619,N/A,37541,14143,19011
Wisconsin - Total,2014-15,29896,0.7,25350,0.68,2750,9082,574,N/A,37555,14581,20998
Wisconsin - Total,2013-14,28810,0.7,21866,0.68,2682,8755,597,N/A,37346,14910,20022
Wisconsin - Total,2012-13,28128,0.7,24148,0.68,2507,9653,547,N/A,37013,16016,20304
Wisconsin - Total,2011-12,28041,0.68,23849,0.67,2590,9856,481,N/A,36005,16494,21406
Wisconsin - Total,2010-11,26238,0.67,22857,0.65,2418,9695,501,N/A,35279,15012,21405
District of Columbia - Total,2015-16,31054,0.53,22541,0.52,3496,11512,643,N/A,9337,603,1111
District of Columbia - Total,2014-15,31452,0.55,22953,0.54,3384,11439,717,N/A,9272,741,1320
District of Columbia - Total,2013-14,N/A,N/A,N/A,N/A,3518,11477,774,N/A,9251,766,1302
District of Columbia - Total,2012-13,N/A,N/A,N/A,N/A,3621,10995,1027,N/A,9299,686,849
District of Columbia - Total,2011-12,22106,0.56,14925,0.54,3567,10211,841,N/A,9212,463,828
District of Columbia - Total,2010-11,28241,0.52,17371,0.51,3458,10078,739,N/A,8402,555,761
,,,,,,,,,,,,
"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,,,,,,,,,,,
Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,,,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,,,,,,,,,,,
  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid,,,,,,,,,,,,
"  and Undergraduate Databases, (c) 2017 Peterson's, a Nelnet company, all rights reserved.",,,,,,,,,,,,
"  All data may be reproduced, with attribution, subject to restrictions under the Creative Commons license. ",,,,,,,,,,,,
